output_channels,lipz,lipz_bn,lipz_xn,lipz_xn_bn,lipz_xu,lipz_xu_bn,lipz_kni,lipz_kni_bn,lipz_kui,lipz_kui_bn,lipz_kno,lipz_kno_bn,lipz_kuo,lipz_kuo_bn
32.0,0.7156816720962524,1.2684752941131592,1.6287075281143188,1.2194182872772217,1.701119065284729,1.269534707069397,1.691339373588562,1.221217155456543,1.761452078819275,1.2715387344360352,6.800010681152344,1.2209426164627075,6.985056400299072,1.2694401741027832
64.0,1.006814956665039,1.7858734130859375,2.2294538021087646,1.7198773622512817,2.332791805267334,1.791113018989563,2.3696439266204834,1.7194260358810425,2.4724879264831543,1.7910466194152832,6.721041679382324,1.7161307334899902,6.988771915435791,1.7964413166046143
128.0,1.4204105138778687,2.5216903686523438,2.9989168643951416,2.4263463020324707,3.106414318084717,2.526445150375366,3.342238187789917,2.4328432083129883,3.4818031787872314,2.524913787841797,6.6754889488220215,2.4232051372528076,6.956305503845215,2.527515411376953
256.0,2.0052666664123535,3.5579652786254883,3.851088047027588,3.420407295227051,4.00981330871582,3.559147357940674,4.710219860076904,3.4300918579101562,4.915904521942139,3.563054084777832,6.66819953918457,3.418567419052124,6.946053981781006,3.5641138553619385
512.0,2.8344898223876953,5.025302886962891,4.708759784698486,4.831775665283203,4.914888858795166,5.027149200439453,6.665399551391602,4.8300461769104,6.938811302185059,5.029284477233887,6.669113636016846,4.832459449768066,6.93790340423584,5.034770965576172
1024.0,4.0021443367004395,7.107847213745117,5.439460754394531,6.8261799812316895,5.665771007537842,7.110110759735107,9.414909362792969,6.830160140991211,9.809659957885742,7.106249809265137,6.656536102294922,6.815469741821289,6.927225589752197,7.102925777435303
2048.0,5.654675006866455,10.04046630859375,5.9480085372924805,9.65433406829834,6.196472644805908,10.042749404907227,13.316490173339844,9.648397445678711,13.858490943908691,10.048737525939941,6.656158924102783,9.645463943481445,6.934231281280518,10.043647766113281
4096.0,7.9961419105529785,14.201332092285156,6.267094135284424,13.646921157836914,6.5247297286987305,14.208565711975098,18.81727409362793,13.639548301696777,19.591991424560547,14.194844245910645,6.649419784545898,13.627513885498047,6.924483776092529,14.192716598510742
