data type,model,init method,prune ratio,restore,number,best accuracy
cifar10,fc3_wobn,kaiming_out,0.92,1,4,57.31999969482422
cifar10,fc3_wobn,kaiming_in,0.84,0,1,58.04999923706055
cifar10,fc3_wobn,xavier,0.92,0,5,57.54999923706055
cifar10,fc3_wobn,kaiming_out,0.88,1,4,57.849998474121094
cifar10,fc3_wobn,kaiming_in,0.88,0,5,57.869998931884766
cifar10,fc3_wobn,kaiming_out,0.96,0,3,55.189998626708984
cifar10,fc3_wobn,xavier,0.98,1,2,50.2599983215332
cifar10,fc3_wobn,xavier,0.94,1,4,56.25
cifar10,fc3_wobn,xavier,0.80,1,5,57.81999969482422
cifar10,fc3_wobn,kaiming_in,0.84,0,4,58.41999816894531
cifar10,fc3_wobn,xavier,0.96,0,3,54.09000015258789
cifar10,fc3_wobn,kaiming_in,0.86,1,3,57.88999938964844
cifar10,fc3_wobn,kaiming_out,0.90,1,3,58.09000015258789
cifar10,fc3_wobn,xavier,0.92,1,3,57.40999984741211
cifar10,fc3_wobn,xavier,0.90,1,3,57.220001220703125
cifar10,fc3_wobn,xavier,0.90,0,5,57.75
cifar10,fc3_wobn,xavier,0.88,0,1,58.47999954223633
cifar10,fc3_wobn,kaiming_out,0.80,0,2,57.290000915527344
cifar10,fc3_wobn,xavier,0.82,1,4,58.41999816894531
cifar10,fc3_wobn,xavier,0.84,0,5,58.439998626708984
cifar10,fc3_wobn,kaiming_out,0.96,0,4,55.06999969482422
cifar10,fc3_wobn,kaiming_in,0.86,0,1,58.41999816894531
cifar10,fc3_wobn,kaiming_in,0.98,0,3,49.7599983215332
cifar10,fc3_wobn,kaiming_in,0.80,0,2,58.040000915527344
cifar10,fc3_wobn,xavier,0.82,0,2,57.86000061035156
cifar10,fc3_wobn,kaiming_in,0.88,1,1,58.54999923706055
cifar10,fc3_wobn,xavier,0.90,0,3,57.810001373291016
cifar10,fc3_wobn,xavier,0.96,1,2,54.560001373291016
cifar10,fc3_wobn,xavier,0.88,0,3,58.2400016784668
cifar10,fc3_wobn,xavier,0.84,0,4,57.900001525878906
cifar10,fc3_wobn,kaiming_in,0.82,0,4,58.36000061035156
cifar10,fc3_wobn,xavier,0.88,0,4,58.18000030517578
cifar10,fc3_wobn,kaiming_out,0.84,1,5,58.790000915527344
cifar10,fc3_wobn,kaiming_in,0.84,1,1,58.439998626708984
cifar10,fc3_wobn,kaiming_out,0.94,0,3,56.13999938964844
cifar10,fc3_wobn,kaiming_out,0.82,1,2,57.84000015258789
